duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
5,-1.409085499234422,0.000257616045305488,0.27413092639816333,-0.03216658167078961,-0.007662765194830613,0.0035139746558453464,-0.0006207802757880812,3.8069221458756814e-05,0.08220133080260669,0.010094744242503569,-0.027773810936720447,0.042088861927064986,-0.028341812123638427,0.008835564632291504,-0.0012768335365143883,6.958350618530458e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.8910617021216698,0,0,0,0,0,0,0,0.08263183080677466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
